,作者,字数,小说名称,最新章节,类别,年份,月份,日
37,戴代,86.24,修士日常生活,第二百二十九章完结,「都市·异术超能」,2014,8,25
38,易飘零,86.2,异界求道传,大结局：最终的封印,「玄幻·异世大陆」,2017,6,30
39,听涛公子,86.18,海贼王之美食系统,新书《混在漫威当剑仙》已签约，欢迎试读,「二次元·衍生同人」,2017,4,24
40,恨古大帝,86.14,主神店铺,第三百三十五章万界唯一,「玄幻·东方玄幻」,2018,4,4
41,liuyuxi,86.04,王格朗的阿拉大陆历险记,某年某月某日某脑洞产物（2+3）,「游戏·游戏异界」,2016,6,3
42,戴帽子的狼,86.04,仙王诀,第二百八十四章大结局,「仙侠·幻想修仙」,2016,8,9
43,廿一,86.01,大江湖时代,第一百四十八章化干戈为玉帛（大结局）,「武侠·武侠幻想」,2017,4,7
44,山竹本尊,85.99,元始魔神,第三百六十三章大结局,「仙侠·幻想修仙」,2017,1,4
45,雾迪,85.98,木叶之口袋妖怪,第八十六章大结局,「二次元·衍生同人」,2018,9,3
46,河边草,85.96,异世之铁血枭雄,后记（四）豪杰,「玄幻·异世大陆」,2008,1,30
47,七月残血,85.96,史上神级穿越,第四百一十八章轮回帝仙（完本）,「玄幻·东方玄幻」,2017,4,24
48,临朝,85.95,封神之余元,完本感言,「仙侠·神话修真」,2014,1,4
49,鱼语雨,85.93,宋元英雄传,大结局曲终人散,「武侠·传统武侠」,2017,3,1
0,糖醋于,85.92,虫慌,第三五五章不是结束的结束（终章）,「科幻·末世危机」,2016,9,12
1,加勒比海贼,85.91,特战雇佣兵,第三九二章佣兵之王（大结局）,「军事·战争幻想」,2018,6,6
2,九阳当空,85.89,证帝系统,结尾及新书《天才邪医》,「玄幻·异世大陆」,2013,5,2
3,西湖黄叽,85.89,变身三界女神,致亲爱的读者们,「二次元·变身入替」,2017,11,18
4,枯叶无涯,85.85,黑衣教父,341：传奇，传奇（大结局）,「体育·篮球运动」,2012,8,8
5,君不见,85.78,猎场,第三二六章：再也不走了（结局）,「科幻·未来世界」,2009,6,30
6,残秋当惜,85.76,迷失在电影天堂,第三五三章大团圆才是好结局（大结局）,「科幻·时空穿梭」,2016,4,1
7,三玄清雩,85.75,不恋爱升级系统,第三百六十五章我一点都不懂爱，所以我写了这本书,「二次元·原生幻想」,2018,5,18
8,漂浮物,85.74,虚拟战士,【完本感言】,「科幻·未来世界」,2009,12,9
9,扣一,85.74,全能时代,第四百一十五章（完本感言）,「都市·都市生活」,2017,1,13
10,采茶纪,85.73,超级位面手表,19、结局,「科幻·时空穿梭」,2018,1,2
11,最爱吃凉糕,85.72,末世生死游戏,第三百一十一章同归于尽（大结局）,「科幻·末世危机」,2014,11,26
12,大梦泣,85.68,一剑惊雷,第三百四十一章大梦千年,「仙侠·幻想修仙」,2017,7,25
13,小陆探花,85.65,电影时代,第四百一十八章结局,「都市·都市生活」,2016,10,8
14,末日教主,85.64,强殖战士,第二百九十五章落下帷幕（完结篇，感谢你们的支持！）,「科幻·超级科技」,2010,8,13
15,步步修缘,85.62,先生来了,第三百八十七章重建轮回（大结局）,「灵异·寻墓探险」,2016,11,9
16,诸君与我,85.54,超级进修班系统,练手第八章,「科幻·时空穿梭」,2017,11,4
17,泽小新,85.5,火舞蛮荒,第三十六章后记,「玄幻·东方玄幻」,2014,4,8
18,三景,85.48,杀手之刃,第三百二十二章大结局,「游戏·虚拟网游」,2016,6,30
19,司徒青火,85.45,火影之院长大人,新书《超神学院之重生火影》,「二次元·衍生同人」,2017,9,29
20,沃德尔,85.42,留洋手记：造梦先驱,第二百八十二章不似尾声——却是尾声,「体育·足球运动」,2017,1,5
21,华山梅轩,85.41,帝国校尉,第236章曲终人散,「仙侠·修真文明」,2017,3,21
22,真的懒得取名,85.4,沉沦魔王,新书《无尽的遗落》,「游戏·游戏异界」,2018,2,26
23,闪烁,85.39,星锋,第一百四十六章身世之迷（大结局）,「仙侠·现代修真」,2009,12,4
24,深橙属意,85.38,女巫侦探所,第410章决战五,「都市·商战职场」,2018,1,19
25,中二萌01,85.29,摄政谋臣,第四百零九章浮生一梦,「历史·架空历史」,2018,9,5
26,秋为,85.25,太古天尊诀,第400章落幕，新征程！（大结局）,「仙侠·古典仙侠」,2018,8,14
27,我是唐僧我不骑白马,85.22,漫威世界里的超能力者,325.终结（大结局）,「科幻·时空穿梭」,2015,5,22
28,胡射,85.2,神级牛魔王,第二十七章洪荒三千界，吾道成,「游戏·游戏异界」,2016,5,20
29,YY小仙人,85.18,重生之我是夸梅布朗,完本感言！,「体育·篮球运动」,2010,3,31
30,看电视吃瓜子,85.18,生化之我是丧尸,第182章不是结局的结局,「科幻·进化变异」,2009,12,31
31,君山逸,85.16,皇神纪,《无敌山海经》求收藏求推荐！,「玄幻·东方玄幻」,2015,7,27
32,紫色de雪色,85.15,厨神大世界,第三百八十章大结局(大章),「玄幻·东方玄幻」,2018,2,8
33,鲁西平,85.13,一路拔剑,第二百五十七章一个不是结尾的结尾,「都市·异术超能」,2015,3,1
34,偏爱吃肉,85.12,我的脑中有万界,完本感言,「玄幻·东方玄幻」,2017,3,1
35,水叶子,85.1,隐相,第二百一十一章接还是不接？,「历史·两晋隋唐」,2013,7,31
36,酱牛头,85.1,重夺王座,终章,「游戏·虚拟网游」,2017,3,15
37,给您添蘑菇啦,85.09,娱乐星工场,新书已发《跨界闲品店》,「都市·娱乐明星」,2018,2,1
38,斩尽世间诸敌,85.05,道灭万古,感言,「仙侠·修真文明」,2018,3,6
39,傻傻的丫头,85.04,三国演义之我佐刘备,第二百一十三章大结局,「历史·秦汉三国」,2010,4,6
40,斗篷客,85.02,晋血,第一百八十五章后记,「历史·两晋隋唐」,2009,11,1
41,雅玩居士,85,黄金耳,第377章称霸全世界（大结局）,「都市·异术超能」,2016,10,13
42,杨门狂少,84.98,从1999开始,第三百零九章大结局,「体育·足球运动」,2016,1,4
43,不吃不睡,84.98,超级电影系统,终！！,「都市·异术超能」,2015,12,22
44,不古,84.96,异界大宗师,完本感言！,「玄幻·异世大陆」,2008,9,19
45,德啊大,84.91,火影之迪达拉的幸福,推个书！,「二次元·变身入替」,2017,8,7
46,英年早肥,84.86,大唐春,后面的故事（代为大结局）,「历史·两晋隋唐」,2011,9,30
47,虾写,84.83,网游之武林霸图,终结者报到,「游戏·虚拟网游」,2014,12,19
48,临波倚浪,84.83,太虚凌云诀,第一五六章终章,「仙侠·幻想修仙」,2017,11,2
49,地球2061,84.79,夜墓知多少,四百一十四张：终章（完）,「灵异·寻墓探险」,2018,1,2
0,华佗能医否,84.77,贪唐,第328章终章,「历史·两晋隋唐」,2018,4,10
1,方外游侠,84.75,剑之游侠,最终章结束？开始！,「奇幻·剑与魔法」,2013,1,8
2,徒有觞,84.74,千棺栈道,第一百二十七章完结,「灵异·寻墓探险」,2017,7,7
3,无知和少年,84.72,武皇宗师,珍重各位书友,「游戏·游戏异界」,2018,2,26
4,一梦十六年,84.69,超级进化光线,第三百八十三章：人人如龙的世界,「都市·都市生活」,2017,7,17
5,宗锐,84.67,美味的神话,第三百九十七章：新的开始（大结局！！！）,「都市·都市生活」,2016,5,6
6,春夏秋冬眠,84.65,挣他一万亿,完本感言,「都市·商战职场」,2018,8,31
7,不癫真人,84.62,在奇幻世界成祖神,第四百零二章祖神,「奇幻·史诗奇幻」,2018,1,16
8,清空物理,84.62,末日巫术师,第三百二十三章结束,「科幻·末世危机」,2015,12,3
9,香蕉菠萝瓜,84.58,二次元之成神指南,完结感言,「二次元·衍生同人」,2018,7,11
10,创海一粟,84.54,时空锻造师,第四百零一章结局篇,「历史·架空历史」,2017,11,13
11,烟头不灭,84.52,大明的脊梁,第341章大明的脊梁（大结局）,「历史·两宋元明」,2016,7,4
12,黄巾渠帅,84.52,三国之占山为王,第十卷 魏王第三百四章大结局（一）,「游戏·虚拟网游」,2015,1,11
13,雅玩居士,84.51,魔术大明星,第406章巅峰魔术师（大结局）,「都市·都市生活」,2018,1,17
14,真武仙,84.51,极道召唤,一百四十六章召唤.完结,「奇幻·剑与魔法」,2018,6,21
15,小分队长,84.5,超魔杀帝国,第九章直到世界终结时,「玄幻·东方玄幻」,2016,9,6
16,竹叶青草,84.5,体坛鹰雄,第三百一十三章大结局,「体育·体育赛事」,2017,4,30
17,荒野听剑,84.47,网络武神,新书,「游戏·虚拟网游」,2017,11,1
18,庄第,84.47,死亡血书,新书：文明猎者,「科幻·时空穿梭」,2017,6,20
19,键盘的灰,84.46,妖魔封印,第九集第三十章(全书完),「玄幻·东方玄幻」,2008,10,17
20,维拉德列,84.45,重生苏联,383牢不可破的联盟（完）,「历史·外国历史」,2017,10,7
21,无齿盗贼,84.41,纨绔法师,终章完满的人生,「玄幻·异世大陆」,2010,10,31
22,油炸包子,84.36,图腾,第275章大结局,「玄幻·异世大陆」,2010,10,12
23,七个半馒头,84.34,兽降三国,第四百零六章大梦初醒（全书完）,「历史·秦汉三国」,2017,1,9
24,飞向太阳,84.32,万能修理铺,完本感言！,「都市·都市生活」,2017,5,8
25,天雨寒,84.26,魔王归来,第一百零三章(大结局)决战幻神【下】,「玄幻·王朝争霸」,2008,3,23
26,房产大亨,84.24,逍遥海岛主,完本感言！,「都市·都市生活」,2016,2,3
27,史珍香,84.21,高手榜,第二百四十五章二重幻境！第一部完结！,「玄幻·王朝争霸」,2016,9,6
28,盛天,84.15,绝色悍妻,终章（新书护花枭雄）,「都市·都市生活」,2012,5,30
29,火山瓢虫,84.15,废柴神道,第三百一十三章,「仙侠·现代修真」,2018,2,6
30,相辞江湖远,84.12,东汉好姐夫,第400章大结局,「历史·秦汉三国」,2018,7,6
31,红莲素心,84.12,变身之阴阳世界,新书,「二次元·变身入替」,2018,4,12
32,笼中的菜鸟,84.11,火影之功德人生,第八十三章远方,「二次元·衍生同人」,2017,4,24
33,黄粱梦醒,84.05,撒旦日记,第344章复仇,「都市·恩怨情仇」,2016,7,14
34,左右仙人掌,83.98,起点,第86章结束,「游戏·虚拟网游」,2006,9,19
35,竹衣无尘,83.98,造化神塔,第394章结局。,「仙侠·幻想修仙」,2015,10,20
36,缘分0,83.93,天纵商才,尾声,「都市·都市生活」,2008,5,17
37,李家四少,83.91,重生之纵横娱乐圈,完本感言,「都市·娱乐明星」,2014,7,1
38,飘零如流水,83.91,超级军团系统,完本感言！,「科幻·时空穿梭」,2016,4,24
39,巴下客,83.9,重生之宋青书,完本感言,「仙侠·幻想修仙」,2015,7,9
40,魏猫,83.88,超品红包,新书《超时空劫匪》已上传,「都市·异术超能」,2017,10,27
41,快乐猴,83.88,训宠师,新书超时空借贷！！！,「都市·都市生活」,2017,11,6
42,茶子猫,83.86,魔学狂潮,咳咳，废猫弱弱的露个头,「游戏·游戏异界」,2018,3,22
43,晓劳,83.84,请叫他骷髅领主,第四百零四章,「奇幻·黑暗幻想」,2017,9,27
44,海底漫步者,83.81,重生日本当神明,新书已发布，《我的女友是恶女》，请多多支持！,「都市·异术超能」,2017,7,31
45,袁文恒,83.79,仙技变,第一百五十章,「玄幻·东方玄幻」,2018,4,9
46,弗恩,83.78,吉光灵探,感谢大家支持,「灵异·恐怖惊悚」,2018,6,28
47,灼言,83.75,箭破九天,大结局——箭破九天,「玄幻·东方玄幻」,2013,12,14
48,屠狗者,83.74,重金属外壳,第二百一十五章终章,「科幻·古武机甲」,2014,6,1
49,草船提督,83.73,我的天空与舰队,社会有关部门对于离任员工的访谈实录1,「二次元·原生幻想」,2017,12,31
0,我狙个栗子,83.72,无限福利神豪,番外三：栗子希望小学,「都市·异术超能」,2018,8,3
1,九尺青峰,83.71,我真不是大神,新书《传奇大编辑》,「都市·都市生活」,2017,5,18
2,凌空一笑,83.7,名天师阴十三,第381章番外之终结篇（下）,「灵异·灵异鬼怪」,2016,11,9
3,颓话痨,83.69,奇迹交易所,新书《一拳之我是琦玉》已发布,「二次元·衍生同人」,2018,8,20
4,星期日是开头,83.69,漫威哈里奥斯本,《从荒野开始的万界遨游》,「科幻·时空穿梭」,2016,8,8
5,徐奇峰,83.67,改写一生,我的新书《快意天才》1756675,「都市·青春校园」,2010,11,30
6,第一种青年,83.62,剑华本纪,余正梅传终章,「武侠·武侠幻想」,2017,9,11
7,傲气,83.58,网游之废物传说,第三百零五章弱水三千（大结局）,「游戏·虚拟网游」,2009,4,29
8,南山寨主,83.57,盘龙之最强本尊,新书《至尊剑笑》求收藏！求推荐！,「二次元·衍生同人」,2017,5,4
9,米虫领袖,83.52,大海贼克洛克达尔,大结局，新书《叛逃主神空间》发布,「二次元·衍生同人」,2017,5,10
10,杨森木柳,83.49,重生之娱乐BOSS,第211章各自的十年（终）,「都市·娱乐明星」,2018,8,20
11,再抽烟是狗,83.44,穿越在碧蓝航线,番外篇第7章现实的问题,「二次元·衍生同人」,2018,7,17
12,白天无梦,83.42,英雄联盟之电竞世界,第八十九章胜利（付大结局和感言）,「游戏·电子竞技」,2017,2,22
13,L流年251,83.4,位面主宰神,"12,超脱",「仙侠·修真文明」,2017,11,7
14,雪夜温狐,83.4,梦幻之迷失的世界,第四百章完结章、免费章：苍灵雪羽,「游戏·游戏异界」,2015,6,12
15,秋雨无痕,83.4,金品典当师,第二百七十六章龙凤呈祥（大结局）,「都市·都市生活」,2009,6,30
16,王筱蛟,83.38,死神之美女护卫队,完本感言,「二次元·衍生同人」,2017,1,16
17,墨然o,83.37,变身盖亚传,第三百六十九章本书完,「二次元·变身入替」,2016,7,18
18,百万萝莉控,83.35,超次元魔法使,64.小小的惩罚（卷完）,「奇幻·剑与魔法」,2016,6,3
19,猫爱吃懒鱼,83.35,一切从吃鸡开始,绝地求生写轮眼传奇，新书已发，,「游戏·游戏主播」,2018,6,13
20,炎炎三七,83.34,无限世界进化史,第九章一路顺风,「科幻·时空穿梭」,2017,11,29
21,一定会火,83.33,我就是巨人,【完本感言】,「二次元·原生幻想」,2018,2,24
22,玩个大西瓜,83.29,英雄联盟之职业皇者,第四百四十一章goodbye（让我们下一个小说在见）,「游戏·电子竞技」,2018,9,4
23,奔跑的王八,83.27,神级辅助,第三百章比万知者还强？,「游戏·虚拟网游」,2016,9,30
24,落马惊雷,83.27,异世秦皇,第271最后一章,「历史·架空历史」,2017,6,7
25,暴风雪呼啦,83.27,明朝小仵作,完本感言,「历史·架空历史」,2016,1,23
26,喝酒烤青蛙,83.27,指掌仙宫,第三百三十八章终极一战（下）（大结局）,「仙侠·幻想修仙」,2017,3,28
27,辣椒黄,83.23,神隐天尊,第三百五十四章，混元级,「仙侠·幻想修仙」,2017,1,24
28,费神,83.23,掌控生命,264完结,「科幻·进化变异」,2009,6,30
29,炭笔乌龙z,83.19,封神NBA,第三百零七章封神,「体育·篮球运动」,2017,1,5
30,沐潇三生,83.19,权倾山河,完本感言,「历史·架空历史」,2018,3,15
31,飞天小罗,83.15,异世独神,第380章决定命运的绝唱（结局篇2）,「玄幻·异世大陆」,2016,10,8
32,行道迟,83.15,医界天骄,第245章大婚之日（完）,「都市·都市生活」,2013,8,21
33,南派潘叔,83.14,私家神探,第三十四章轮 回(大结局）,「灵异·悬疑侦探」,2018,3,14
34,我吃油菜花,83.13,无限动漫旅,第两百零六章：结束与开始,「二次元·衍生同人」,2016,12,2
35,白面黑厮,83.13,数字入侵,386你想要的生活（全书完）,「科幻·时空穿梭」,2018,8,4
36,非酒,83.13,异界之召唤游戏,第二百三十二章（大结局）,「玄幻·异世大陆」,2010,10,29
37,偷看书的懒猫,83.12,末日之钢壳系统,第三百九十八章大结局,「科幻·末世危机」,2014,7,1
38,栾柒,83.12,神级饲养师,231震惊星辰！,「游戏·虚拟网游」,2016,8,16
39,京门菜刀,83.08,首富巨星,新书《歌星》已发布！求支持！,「都市·都市生活」,2017,9,19
40,伏醉,83.05,未来手机,第二百八十章：后记（附完本感言）,「都市·都市生活」,2011,1,31
41,廊桥天涯,83.05,血符,第八卷 第二十一章结局（《血符》全书完，请待续集）,「玄幻·东方玄幻」,2009,9,16
42,庄不周,83.04,卫氏风云,第087章最后一战（大结局）,「历史·秦汉三国」,2010,2,26
43,易文三不知,83.01,掌控美职篮,推荐自己的新书,「体育·篮球运动」,2015,4,9
44,桃子卖没了,82.98,万象真经,第二百五十八章：终章，万象传承,「玄幻·东方玄幻」,2013,4,19
45,杨儒鸿,82.98,养了一只猫,最终章早安，变态主人,「都市·都市生活」,2016,8,1
46,爱过一只猫,82.97,全球美食之旅,大结局,「都市·都市生活」,2017,11,28
47,夜风棱棱,82.93,入仕12年,第四百章后记,「现实·成功励志」,2018,9,4
48,焚秦,82.92,重生之天下无贼,【重生之天下无贼】完本感应,「游戏·虚拟网游」,2013,7,13
49,w风雪,82.92,魔鬼证道诸天,第三百五十六章莫槐的疯狂,「仙侠·幻想修仙」,2018,5,29
0,东红柿,82.92,我在乱世有快递,第两百五十一章重聚（大结局）,「历史·架空历史」,2018,8,31
1,黑土冒青烟,82.91,闪烁拳芒,第八十章最后的战斗（大结局）,「玄幻·东方玄幻」,2014,1,13
2,骑着毛驴看唱本,82.91,位面之大侠养成系统,第二三五章天下一统,「科幻·时空穿梭」,2014,7,21
3,若水酬暖阳,82.9,王二小的奇妙江湖,新书,「武侠·武侠幻想」,2017,12,29
4,大龙套,82.87,至尊华娱,第377章终章,「都市·都市生活」,2016,3,28
5,流浪的蛤蟆,82.86,时空妖灵,后记,「仙侠·幻想修仙」,2006,9,7
6,大巫师,82.85,无上巫法,第108章星群陨落,「玄幻·异世大陆」,2015,7,10
7,武争,82.84,人品科技系统,遗憾后，开新书,「都市·都市生活」,2016,9,27
8,星池夜寂,82.81,直播在游戏异界,新书《重生之超级法神》,「游戏·游戏异界」,2017,2,6
9,猫言公子,82.79,真仙试炼,大结局,「仙侠·幻想修仙」,2017,8,15
10,南瓜火车,82.76,圣堂之心,终章·后记·遗憾,「游戏·游戏异界」,2016,10,9
11,Mr星火,82.75,万界临时工,第三百七十六章超极致巅峰（大结局）,「科幻·时空穿梭」,2018,8,4
12,江边傩送,82.74,花都妖孽,第289章大结局,「都市·异术超能」,2011,10,28
13,迷失之途,82.72,重生女学霸,8，她们的婚礼。,「都市·都市生活」,2016,5,31
14,流云飞渡,82.71,扛匠,第二百六十一章终章,「灵异·寻墓探险」,2015,8,27
15,恒心,82.7,流氓剑客在异世,第18卷 终极篇章，唯我独尊第240章崭新时代（全书完）,「玄幻·异世大陆」,2015,4,1
16,发飙的头发,82.66,超级小说系统,第三百六十一章超级小说系统正式开启（大结局）,「科幻·超级科技」,2017,5,15
17,小小书虫03,82.61,末世之我的机械军团,第一百七十三章血月之祸（5）,「科幻·末世危机」,2017,10,18
18,小鬼豆豆,82.61,镇魂之书,第二百六十八章时空错乱,「奇幻·另类幻想」,2018,1,5
19,昆承君,82.61,网游之桃源领主,第四百零五章永远在一起,「游戏·游戏异界」,2016,1,31
20,凌云无忌,82.59,美妙之第二人生,第300章（大结局）,「都市·都市生活」,2010,3,31
21,陋室有馨,82.59,热血足球英雄传,第三百七十章中国勇夺世界杯（大结局）,「体育·足球运动」,2017,11,30
22,倩影已逝,82.56,带个皇妃回现代,最终章：拥抱太阳的月亮,「历史·架空历史」,2016,10,27
23,山水不相闻,82.54,京都除妖学院,番外篇文化祭,「二次元·搞笑吐槽」,2018,1,5
24,云中野鹤,82.52,特战神犬,第三百九十九章荣耀之路,「军事·军事战争」,2018,1,2
25,钢索好口牙,82.5,仙界大玩家,第三零九章大结局,「仙侠·幻想修仙」,2016,2,3
26,江湖醉鱼,82.5,我从火星来,第345章新的开始,「都市·异术超能」,2016,9,12
27,所谓神迹,82.48,非正常勇者报告,最终章一如既往的结束，一如既往的开始,「游戏·游戏异界」,2016,3,21
28,哲诗,82.4,幻皇武帝,第二十章这是个秘密,「玄幻·异世大陆」,2014,9,1
29,突然光和热,82.4,诸神十二乐章,终章诸神的黄昏,「玄幻·王朝争霸」,2010,9,30
30,东星乌鸦哥,82.39,御前护卫花冲,最终章侠客岛上觅仙踪,「武侠·传统武侠」,2017,6,12
31,高考复读生,82.38,二哈流,第四百零九章战争,「二次元·变身入替」,2017,10,17
32,一彬,82.35,堕落仙人,后记,「玄幻·东方玄幻」,2016,12,31
33,大饮02,82.32,是谁在场边说话,第71章为了变强,「体育·足球运动」,2018,4,10
34,笔指江山,82.31,科技皇朝,第242章十年，一梦（大结局）,「都市·商战职场」,2017,9,28
35,派大叔,82.3,三国之神级奶爸,第401章第一位面,「历史·架空历史」,2018,4,10
36,落月追风,82.3,百炼成妖,结文说明，读者必读,「游戏·虚拟网游」,2015,9,15
37,金色商秋,82.25,再临诸天,完本感言,「都市·异术超能」,2017,10,23
38,昕弈,82.23,最强修仙之无限分身,对不起，完结了！,「仙侠·修真文明」,2018,6,5
39,九城,82.22,天才科学家,完本感言,「都市·都市生活」,2013,8,10
40,索索咬豚豚,82.2,恐怖二次元,新书已上传,「科幻·时空穿梭」,2018,3,28
41,清凉蓝夏,82.16,属性天神,完本感言,「游戏·游戏异界」,2018,3,28
42,魏霓玥,82.15,三国之严白虎的逆袭,第二百六十章【终结·开始】,「游戏·游戏系统」,2018,5,8
43,赤雪,82.12,现代猎人传奇,第三十九章皆大欢喜（大结局）,「都市·异术超能」,2007,4,8
44,熊二先生,82.11,神话高校,新书《三国之诸天万界》以及本书说明,「科幻·时空穿梭」,2017,3,31
45,想不出名,82.05,阴阳伏魔,第六十八章呼吁环保的大结局,「灵异·灵异鬼怪」,2016,12,31
46,斩天,82.05,铁骑征西,第一百六十四章九曜城邦,「玄幻·东方玄幻」,2007,3,13
47,鱼中飘雪,82.03,星际乞丐,【大结局】第二百七十二章又是一颗垃圾星球（终）,「科幻·星际文明」,2008,5,3
48,懒鸟,82.01,八荒劫,193章,「仙侠·幻想修仙」,2013,11,25
49,惊才绝世笑红尘,81.98,无限争锋,第十一章最后的圣战(下)(一万五千字大结局附带完本感言),「科幻·进化变异」,2009,9,29
0,屋顶骑兵,81.98,靖难天下,第四十七章浮生六劫（全本终章）,「历史·两宋元明」,2008,1,8
1,供月,81.96,国术之无敌天下,第二百八十八章一切（完）（大结局）,「武侠·国术无双」,2018,9,3
2,蔡晋,81.94,欲海医心,第二百一十九章(大结局),「都市·异术超能」,2006,11,19
3,二竹,81.92,最强大仙系统,二竹混蛋了,「仙侠·幻想修仙」,2017,1,3
4,龙港老林,81.9,系统之荣耀称号,283,「游戏·游戏系统」,2018,1,22
5,月神镰刀,81.88,重生武松,第300章华夏一统,「历史·架空历史」,2015,8,19
6,云雨梦江南,81.85,江小白游记,第二百九十一章新的开始,「玄幻·东方玄幻」,2017,5,2
7,滨城小道,81.79,晋末逐鹿,二百六十二节大结局,「历史·两晋隋唐」,2018,7,9
8,极东盟主,81.77,超体引领时代,第三十八章、展望未来（大结局）,「都市·都市生活」,2016,7,26
9,彩音舞,81.76,天刀异界游,第三百八十章就这样吧（悲伤。）,「游戏·游戏异界」,2017,10,9
10,逍遥贤者,81.75,武侠世界碎虚空,新书改名为《重生都市霸业》,「武侠·传统武侠」,2018,4,3
11,傀儡师月蚀,81.75,虫群之心,NO.144补全与……伙伴,「科幻·星际文明」,2013,5,17
12,珩毅,81.73,唯我中华,完本吧，不敢写了,「历史·架空历史」,2017,3,23
13,吹动心中热火,81.71,位面之最强超凡,第三十四章开花,「科幻·时空穿梭」,2018,3,7
14,武夜,81.7,异世药皇,第二百六十三章覆雨天下（大结局）,「玄幻·异世大陆」,2009,6,30
15,碎花2016,81.7,海贼之最恶新星,第017章:万象归心,「二次元·衍生同人」,2017,3,21
16,狂财神,81.68,全能法神,完本感言,「玄幻·异世大陆」,2011,6,30
17,菠菜面筋,81.67,乱世之王,关于新书！,「军事·军事战争」,2016,9,1
18,门房秦大爷,81.66,重生抄动漫,新书《动漫网站之发展计划》,「都市·都市生活」,2017,3,7
19,皇甫奇,81.64,无上真魔,第十九章道门协议 （结尾）,「玄幻·东方玄幻」,2010,9,10
20,力福海,81.63,聊斋仙境,第390章、飞升,「仙侠·神话修真」,2018,5,8
21,九州妖僧,81.62,仙道纵横异世,第三百七十八章神器迭出！大战之始！,「仙侠·神话修真」,2018,8,20
22,蜃龙,81.61,武林秘闻,第三十二回此生逍遥（全书终）,「灵异·悬疑侦探」,2018,6,12
23,凤谛,81.59,大蜀山,第二百一十六章风华妙手破奸计，古灵精怪眼沙迷,「游戏·虚拟网游」,2015,6,24
24,醉狮血,81.55,卡屠,第二百七十章封神（大结局）,「玄幻·东方玄幻」,2014,9,4
25,陌上无刀,81.5,锦衣卫之杀神系统,新书《奶爸无敌之魔教教主》可以宰了！,「武侠·武侠幻想」,2017,6,23
26,梦是醒时醒是梦,81.5,玄门道教,第二百零七章盖棺定论，虚无有为（大结局）,「玄幻·东方玄幻」,2009,5,13
27,风间羽仙,81.5,猫耳娘永不为奴哦,第一百三十八章好一条汉子,「奇幻·黑暗幻想」,2018,8,6
28,费神,81.48,都市狙魔人,后记,「科幻·超级科技」,2008,9,24
29,板烧琪露诺,81.48,天才战车道少女,新书求收藏，求推荐~,「二次元·衍生同人」,2016,9,19
30,睿意,81.47,网游之剑意,第二百九十章剑极（终）,「游戏·虚拟网游」,2010,8,31
31,我心飞翔啊,81.46,海贼之恶魔之名,第369章大结局！,「二次元·衍生同人」,2018,5,16
32,相Si红豆,81.42,乾坤玉珏,第两百七十二章玉珏的作用（大结局）,「灵异·灵异鬼怪」,2017,6,26
33,双洞,81.41,盛世明星,完本感言。,「都市·都市生活」,2016,10,24
34,汉北之南,81.4,刀剑啸江湖,第四百一十三章天下第一镖局（大结局）,「武侠·传统武侠」,2017,5,31
35,永无止尽,81.4,全职守夜人,天之国 第七章解开七年悬疑（二）,「灵异·寻墓探险」,2012,8,15
36,御剑江南,81.37,武神重生,第一百九十四章成就上人【大结局及新书预告】,「玄幻·东方玄幻」,2012,4,28
37,执笔述话,81.34,我的右眼通地狱,第三百六十章他叫牧戈，也叫龙羽（大结局！）,「二次元·原生幻想」,2017,10,17
38,终极老喵,81.32,末世终极进化系统,结束了，真的不想再浪费大家的时间和起点币了！,「科幻·末世危机」,2018,8,22
39,又见青山,81.28,悍卒,尾声,「军事·战争幻想」,2007,7,13
40,山灰,81.26,拿去吧！经验值,第三百八十三章（终章）拿去吧！经验值,「二次元·原生幻想」,2017,11,15
41,槐花子,81.24,大富翁游戏,376活着的传说,「都市·都市生活」,2017,3,7
42,迷茫的蛇,81.23,位面之代行者,完本感言,「科幻·时空穿梭」,2017,7,16
43,耳火大帝,81.22,单机版山寨主神,第二百六十三章大结局,「科幻·时空穿梭」,2015,5,24
44,独居者,81.19,三国之最强谋士,关于新书的事情,「历史·秦汉三国」,2017,1,6
45,陈观鱼,81.19,三花聚顶,第二百三九章：大结局,「仙侠·修真文明」,2011,8,31
46,糯笔,81.16,英雄无敌新秩序,398.重生（结局）,「奇幻·剑与魔法」,2018,4,9
47,北海望,81.16,重装机兵，末日旅程,终章：两个妮娜与红狼,「游戏·游戏异界」,2018,8,13
48,翁墨宸,81.14,精武梦,空手道创始人船越义珍,「武侠·国术无双」,2017,4,13
49,楚人接舆,81.12,魏离传说,第三百八十八章喜欢看月亮的人（大结局）,「武侠·武侠幻想」,2016,11,3
0,武侯琴主,81.1,龙珠之最强孟林,第三百九十五章主宰（大结局）,「二次元·衍生同人」,2017,11,15
1,岚烟一七七,81.08,战旗依旧,三百七十七命命相扣 二十四,「短篇·短篇小说」,2018,1,23
2,灰层,81.04,伯明翰的征服世界大冒险,第三百二十一章起点,「奇幻·剑与魔法」,2017,10,12
3,滇中快手,81.01,仙家小农民,完本感言,「都市·异术超能」,2018,3,29
4,精密计算,81.01,无限恐怖之机械师,新书《活在霍格沃茨》已经上架，请广大读者老爷移步观赏，谢谢,「二次元·衍生同人」,2016,8,3
