,作者,字数,小说名称,最新章节,类别,年份,月份,日
9,水瓶座·杰,524.32,我本三国一路人,卷三第四百三十八回一点尾声（最终回）,「历史·秦汉三国」,2018,1,12
10,竹茶,523.96,他从末世来,竹茶新书，末日逃生舱。,「都市·异术超能」,2016,2,18
11,屋外风吹凉,522.93,醉迷红楼,新书已发啊！！！,「历史·架空历史」,2017,8,29
12,猪小小,520.95,火炼星空,感谢你们~,「玄幻·东方玄幻」,2015,5,25
13,陈爱庭,519.44,超级教练,后记,「体育·足球运动」,2013,2,20
14,观棋,519.01,长生不死,完本总结！,「仙侠·幻想修仙」,2012,6,12
15,一行白鹭上青天,517.95,巫师之旅,第两千一百零五章梦想贩卖者（结局免费）,「奇幻·剑与魔法」,2017,11,22
16,小刀锋利,517.76,弑天刃,新书《无疆》，明天上午发布。,「玄幻·东方玄幻」,2017,5,10
17,沧澜波涛短,516.98,剑娘,【免费】新书《氪无不胜》试阅读第三章,「游戏·虚拟网游」,2018,3,8
18,帝妖皇,516.36,妖皇太子,第一千八百四十七章问世间可有轮回？（大结局）,「仙侠·修真文明」,2015,9,1
19,一梦一界,514.55,异化都市,完本感言,「都市·异术超能」,2018,7,9
20,雾外江山,512.48,大道独行,第一千七百五十七章后记，未来的时光（特别重要，请进来一看！）,「仙侠·幻想修仙」,2015,12,23
21,如倾如诉,509.39,直死无限,新书出炉！,「科幻·时空穿梭」,2018,5,2
22,天上峡谷,508.36,鼎定仙域,结束语,「仙侠·幻想修仙」,2017,2,4
23,孓无我,508,帝级大明星,第一千六百二十三章帝级大明星（大结局）,「都市·娱乐明星」,2017,4,18
24,庄毕凡,506.98,末法王座,第一千四百六十九章,「玄幻·异世大陆」,2016,1,27
25,南山隐士,506.98,农家仙田,新书《神农别闹》，已经上传，敬请关注。,「都市·都市生活」,2018,7,6
26,虎躯巨震,503.79,崛起美洲1620,第1496章大结局,「历史·架空历史」,2015,10,22
27,青铜剑客,503.22,三国之召唤猛将,一千七百一十我已君临天下，与卿共赏桃花（大结局）,「历史·秦汉三国」,2017,7,25
28,指云笑天道,502.52,沧狼行,新书东晋北府一丘八已发，欢迎来追,「武侠·武侠幻想」,2017,1,4
29,田十,502.27,修士记,第一千八百一十九章我们在一起（结局）,「仙侠·幻想修仙」,2013,1,25
30,勿明,501.22,无限归来之超级警察,《重生之无限梦想》火热连载中ing……,「都市·都市生活」,2017,5,27
31,玉爪俊,500.46,蜀山旁门之祖,完本感言，大家不妨看看,「仙侠·修真文明」,2013,9,6
32,谢庄十三少,499.82,一品武神,完本感言！！,「玄幻·东方玄幻」,2016,6,30
33,青菜扮豆腐,498.91,美女圣约书,第一千三百零四章美女圣约书！【完本必神！】,「科幻·时空穿梭」,2017,8,24
34,兴霸天,498.68,无限打工,后记,「科幻·时空穿梭」,2014,10,12
35,林海听涛,496.59,禁区之雄,还有多少人不知道新书《胜者为王》已经上传的？,「体育·足球运动」,2013,3,11
36,红枼,496.37,孢子物语,第六十七章新世界之名（大结局）,「科幻·进化变异」,2012,12,26
37,天蚕土豆,496.03,大主宰,第一千五百五十一章邪神陨落（大结局）,「玄幻·异世大陆」,2017,7,8
38,不带电,495.92,拿无限当单机,第一千一百六十二章这就是大结局！,「科幻·时空穿梭」,2015,11,14
39,鱼儿小小,493.74,都市之国术无双,1934诸天之上（下）大结局,「都市·异术超能」,2018,7,2
40,神域杀手,493.5,最强丹药系统,新书：《太古万界》,「仙侠·现代修真」,2017,7,25
41,名窑,491.78,极品乡村生活,第一千五百三十四章大结局下,「都市·都市生活」,2013,12,14
42,Deathstate,491.51,湛蓝徽章,特别通告，一定要进,「奇幻·剑与魔法」,2015,4,14
43,羽夜星杓,490.52,真镜,第1503章后记及新书,「仙侠·修真文明」,2017,7,4
44,穿过红尘,490.11,游戏三国之英雄传说,第一千五百零二章生命如花何处不放,「游戏·虚拟网游」,2013,12,31
45,三天两觉,489.55,惊悚乐园,完本感言,「游戏·虚拟网游」,2017,11,30
46,宅猪,488.58,人道至尊,震惊！让男人沉默女人流泪的真相，不可不看！（其实是完本感言）,「玄幻·东方玄幻」,2017,3,24
47,瑞根,486.67,江山美人志,老瑞新书都市官文《还看今朝》上传了，欢迎兄弟们一阅！,「玄幻·王朝争霸」,2015,6,3
48,黑袍雷斯林,486.5,守望黎明号,新书《环城术士》已发，各位书友多支持(可不订阅),「科幻·时空穿梭」,2017,8,23
49,豆子惹的祸,486.25,升邪,小小少年，多可爱（完本感言）,「仙侠·修真文明」,2015,6,29
0,葫芦村人,484.24,智能工业帝国,完本感言,「都市·都市生活」,2015,9,15
1,庄毕凡,483.72,异界全职业大师,第一千四百零八章大结局,「游戏·游戏异界」,2013,5,27
2,木子蓝色,481.87,唐朝好地主,新书《逍遥小地主》发布，请多支持！,「历史·两晋隋唐」,2017,11,13
3,七世狂人,480.44,超级金钱帝国,新书《我在古代有工厂》已上传,「都市·都市生活」,2018,7,2
4,面红耳赤,479.84,极品修真邪少,第一三六四章大结局！,「仙侠·现代修真」,2014,11,6
5,妖月白狐,479.66,重活一次,完本感言,「都市·都市生活」,2018,8,22
6,逆苍天,478.91,杀神,新书《灵域》已经上传，请大家继续支持~~,「玄幻·异世大陆」,2013,6,24
